[2021-12-24 15:42:42,449][zh_train.py][line:67][INFO] start training!
[2021-12-24 15:48:33,863][zh_train.py][line:97][INFO] epoch [1]: train loss is:0.005342,train acc is:0.852090
[2021-12-24 15:48:47,658][zh_train.py][line:60][INFO] validation loss is:0.004679,validation acc is:0.870521
[2021-12-24 15:48:47,659][zh_train.py][line:106][INFO] best model is changed, best acc is 0.870521
[2021-12-24 15:54:37,979][zh_train.py][line:97][INFO] epoch [2]: train loss is:0.004146,train acc is:0.890470
[2021-12-24 15:54:51,835][zh_train.py][line:60][INFO] validation loss is:0.003989,validation acc is:0.887838
[2021-12-24 15:54:51,835][zh_train.py][line:106][INFO] best model is changed, best acc is 0.887838
[2021-12-24 16:00:41,348][zh_train.py][line:97][INFO] epoch [3]: train loss is:0.003627,train acc is:0.905084
[2021-12-24 16:00:55,184][zh_train.py][line:60][INFO] validation loss is:0.003932,validation acc is:0.891919
[2021-12-24 16:00:55,184][zh_train.py][line:106][INFO] best model is changed, best acc is 0.891919
[2021-12-24 16:06:43,884][zh_train.py][line:97][INFO] epoch [4]: train loss is:0.003132,train acc is:0.918899
[2021-12-24 16:06:57,625][zh_train.py][line:60][INFO] validation loss is:0.004205,validation acc is:0.887639
[2021-12-24 16:12:48,237][zh_train.py][line:97][INFO] epoch [5]: train loss is:0.002602,train acc is:0.934424
[2021-12-24 16:13:01,995][zh_train.py][line:60][INFO] validation loss is:0.004256,validation acc is:0.892118
[2021-12-24 16:13:01,996][zh_train.py][line:106][INFO] best model is changed, best acc is 0.892118
[2021-12-24 16:18:51,094][zh_train.py][line:97][INFO] epoch [6]: train loss is:0.002068,train acc is:0.948439
[2021-12-24 16:19:04,870][zh_train.py][line:60][INFO] validation loss is:0.004739,validation acc is:0.889729
[2021-12-24 16:24:53,477][zh_train.py][line:97][INFO] epoch [7]: train loss is:0.001602,train acc is:0.960932
[2021-12-24 16:25:07,229][zh_train.py][line:60][INFO] validation loss is:0.005826,validation acc is:0.886346
[2021-12-24 16:30:56,904][zh_train.py][line:97][INFO] epoch [8]: train loss is:0.001250,train acc is:0.969605
[2021-12-24 16:31:10,657][zh_train.py][line:60][INFO] validation loss is:0.006236,validation acc is:0.886346
[2021-12-24 16:37:00,001][zh_train.py][line:97][INFO] epoch [9]: train loss is:0.001009,train acc is:0.976002
[2021-12-24 16:37:13,816][zh_train.py][line:60][INFO] validation loss is:0.006924,validation acc is:0.882265
[2021-12-24 16:43:05,081][zh_train.py][line:97][INFO] epoch [10]: train loss is:0.000838,train acc is:0.979200
[2021-12-24 16:43:18,866][zh_train.py][line:60][INFO] validation loss is:0.007981,validation acc is:0.884057
[2021-12-24 16:49:09,339][zh_train.py][line:97][INFO] epoch [11]: train loss is:0.000751,train acc is:0.981510
[2021-12-24 16:49:23,092][zh_train.py][line:60][INFO] validation loss is:0.008262,validation acc is:0.885748
[2021-12-24 16:55:14,577][zh_train.py][line:97][INFO] epoch [12]: train loss is:0.000677,train acc is:0.983231
[2021-12-24 16:55:28,485][zh_train.py][line:60][INFO] validation loss is:0.008397,validation acc is:0.884256
[2021-12-24 17:01:21,962][zh_train.py][line:97][INFO] epoch [13]: train loss is:0.000650,train acc is:0.983931
[2021-12-24 17:01:35,767][zh_train.py][line:60][INFO] validation loss is:0.008882,validation acc is:0.879180
[2021-12-24 17:07:32,151][zh_train.py][line:97][INFO] epoch [14]: train loss is:0.000576,train acc is:0.985896
[2021-12-24 17:07:46,284][zh_train.py][line:60][INFO] validation loss is:0.009870,validation acc is:0.884952
[2021-12-24 17:13:36,437][zh_train.py][line:97][INFO] epoch [15]: train loss is:0.000548,train acc is:0.986618
[2021-12-24 17:13:50,240][zh_train.py][line:60][INFO] validation loss is:0.009836,validation acc is:0.882464
[2021-12-24 17:19:45,331][zh_train.py][line:97][INFO] epoch [16]: train loss is:0.000529,train acc is:0.986918
[2021-12-24 17:19:59,336][zh_train.py][line:60][INFO] validation loss is:0.009702,validation acc is:0.877389
[2021-12-24 17:26:00,087][zh_train.py][line:97][INFO] epoch [17]: train loss is:0.000498,train acc is:0.987596
[2021-12-24 17:26:14,350][zh_train.py][line:60][INFO] validation loss is:0.009961,validation acc is:0.879578
[2021-12-24 17:32:12,258][zh_train.py][line:97][INFO] epoch [18]: train loss is:0.000472,train acc is:0.988373
[2021-12-24 17:32:26,068][zh_train.py][line:60][INFO] validation loss is:0.010348,validation acc is:0.876194
[2021-12-24 17:38:15,636][zh_train.py][line:97][INFO] epoch [19]: train loss is:0.000490,train acc is:0.988062
[2021-12-24 17:38:29,439][zh_train.py][line:60][INFO] validation loss is:0.009850,validation acc is:0.877090
[2021-12-24 17:44:18,612][zh_train.py][line:97][INFO] epoch [20]: train loss is:0.000457,train acc is:0.988451
[2021-12-24 17:44:32,403][zh_train.py][line:60][INFO] validation loss is:0.010784,validation acc is:0.881568
[2021-12-24 17:44:32,404][zh_train.py][line:108][INFO] finish training!
